[35manalyzer_1       |[0m 2023-01-03 11:46:38.223  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 9cd010af-5dd7-4a7a-8ca2-2d74b8d3fa15: (33126453626[1765,824])
[35manalyzer_1       |[0m 2023-01-03 11:46:42.549  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 831450b6-0be9-4ba5-9731-816859dd1b7b: (33126453626[1765,826])
[35manalyzer_1       |[0m 2023-01-03 11:46:59.571  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0de9fc2d-ca20-433f-9a1b-570671901a70: (33126453261[2476,1537])(33126453262[3670,1209])
[34manalyzer_2       |[0m 2023-01-03 11:46:40.099  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 6f02880e-3370-4083-a0b4-da804fc945f5: (33126454632[2932,330])
[35manalyzer_1       |[0m 2023-01-03 11:47:08.072  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 30d0c8de-c095-43dd-831e-4a31f0e3710d: (33126454632[18,601])(33126453126[607,1165])(33126454312[2918,1469])
[35manalyzer_1       |[0m 2023-01-03 11:47:12.425  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 1d6ebb81-40a1-4a2d-bb89-752dcdb956ee: (33126454632[18,602])(33126453126[606,1168])(33126454312[2918,1469])
[35manalyzer_1       |[0m 2023-01-03 11:47:20.074  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 24638302-fb1d-435a-920e-91d206d5335e: (33126454632[661,570])(33126453161[1756,963])(33126454123[2699,177])
[35manalyzer_1       |[0m 2023-01-03 11:47:36.678  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 9f284b33-5e8a-4003-b9fc-0bc9b558a5a9: (33126531145[1607,914])
[35manalyzer_1       |[0m 2023-01-03 11:47:41.033  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job ccbf113c-6411-4bf5-9065-e4f4152390a8: (33126531145[1607,912])
[35manalyzer_1       |[0m 2023-01-03 11:48:05.841  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 89ee3b0e-0bcd-43c6-a95a-7388502fb522: (33126454132[242,425])(33126454131[1122,328])
[34manalyzer_2       |[0m 2023-01-03 11:47:09.166  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job d742a6f1-5e6e-45e9-862d-de0268fcab32: (33126454132[242,427])(33126454131[1122,326])
[34manalyzer_2       |[0m 2023-01-03 11:47:17.685  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e1d65fe3-381c-4a5e-985e-bf62c0c03be4: (33126454632[661,570])(33126453161[1756,963])(33126454123[2699,177])(33126453126[2869,853])
[34manalyzer_2       |[0m 2023-01-03 11:47:29.482  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5cc2d404-628b-4b01-93b4-bae593c7f105: (33126453626[1765,826])
[34manalyzer_2       |[0m 2023-01-03 11:47:46.182  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 931c9440-cab8-4d54-ac5c-8569f1a18b38: (33126453261[2476,1537])(33632256142[3658,1219])
[34manalyzer_2       |[0m 2023-01-03 11:47:50.475  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 634de121-34c6-4afe-8203-570b9bbb37d5: (33126453261[2478,1536])(33126453262[3670,1209])
[34manalyzer_2       |[0m 2023-01-03 11:47:59.606  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job d426cac6-a0c9-4d3a-9e63-f45217b7d8d7: (33126454632[19,604])(33126453126[607,1168])(33126454312[2917,1469])
[35manalyzer_1       |[0m 2023-01-03 11:48:19.026  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 45cc201f-eb17-4783-a268-c3e54e6e79d6: (33126454632[661,570])(33126453161[1756,963])(33126454123[2699,177])(33126453126[2868,850])
[35manalyzer_1       |[0m 2023-01-03 11:48:35.804  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 7bfcb5d4-b371-4839-bf40-5027954f3b52: (33126531145[1606,912])
[35manalyzer_1       |[0m 2023-01-03 11:48:45.042  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a2315df3-da4c-4b28-a3f2-7b641f609b92: (33126454632[19,608])(33126453126[608,1168])(33126454312[2919,1469])
[35manalyzer_1       |[0m 2023-01-03 11:48:49.511  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job b0815dea-d29f-42a0-bf9d-b70ddd97c2a1: (33126453126[608,1168])(33126454312[2918,1469])
[35manalyzer_1       |[0m 2023-01-03 11:49:04.100  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e3113de4-7d18-4549-a404-de921d6226df: (33126453626[1765,826])
[35manalyzer_1       |[0m 2023-01-03 11:49:17.117  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job d14c2a45-d0da-438a-a731-07a56fa6ee2f: (33126454632[661,570])(33126453161[1756,963])(33126454123[2699,176])
